author_ex,trend_slope,rate,social_search,max_ep,subscribe,like_4ep,like_4ep_slope,like_tot,like_tot_slope,comments_4ep,comments_4ep_slope,comments_tot,comments_tot_slope,knu_1_4ep,knu_2_4ep,knu_3_4ep,knu_1_tot,knu_2_tot,knu_3_tot,movie_1_4ep,movie_2_4ep,movie_3_4ep,movie_1_tot,movie_2_tot,movie_3_tot,fodo_1_4ep,fodo_2_4ep,fodo_3_4ep,fodo_1_tot,fodo_2_tot,fodo_3_tot,att_1_4ep,att_2_4ep,att_3_4ep,att_1_tot,att_2_tot,att_3_tot,www,picture_shadow_그래픽노블체,picture_shadow_기타,picture_shadow_소년만화체,picture_shadow_순정만화체,picture_shadow_실사체,picture_shadow_카툰체,genre_1_스토리,genre_1_에피소드,genre_1_옴니버스,genre_2_감성,genre_2_개그,genre_2_드라마,genre_2_로맨스,genre_2_스릴러,genre_2_스포츠,genre_2_시대극,genre_2_액션,genre_2_일상,genre_2_판타지,y_1,y
0.0,-0.0052740492138837,9.93,2020.0,499,2030626,15448.5,270.7000000000001,34014.058116232474,1.4008108747615706,2222.75,392.70000000000016,17049.386773547096,-60.91532520462612,0.05,-0.1,0.175,-0.10953878406708596,-0.048822714681440435,-0.009445843828715366,-0.1531386442499998,0.20566496199999998,0.33719380200000004,-0.0791457657756813,0.014748944005540159,-0.051357078020151166,0.154980257375,0.3119014277499999,0.4521756397500001,0.4842994706048222,0.299910603055402,0.2266937935743072,0.017280537708333408,0.18594686725,0.32145648058333337,0.098538306920685,0.06420667429946895,0.05529695724181355,0.8493812231586078,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1분위,0.8510355559829493
3.0,-0.0085957859419319,9.84,1650.0,40,567460,24317.25,-99.60000000000002,28232.0,-303.60956848030025,3196.5,27.800000000000008,3497.225,-45.244934333958724,6.938893903907227e-18,-0.2,-0.2,-0.1527777777777778,-0.21323529411764705,-0.20454545454545456,-0.37745204575,-0.52723702725,-0.487743452,-0.19901523819444444,-0.4798131400882353,-0.4893545654242424,-1.031859055,-0.262738026875,-0.4699507360000001,-0.5400446023888889,-0.4062370543970588,-0.3771893121060607,-0.4697703669166667,-0.39906258775,-0.3858980626666668,-0.29727920612037034,-0.3567459154373143,-0.35702977735858593,0.8275454846650026,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1분위,0.8068648245158062
1.0,-0.008315094886179,9.82,630.0,306,735766,11888.25,-200.90000000000006,21586.356209150326,-46.24920482851122,3081.25,-29.300000000000008,5436.173202614379,-31.442523901214262,-0.75,-0.325,0.0333333333333333,-0.16212871287128713,-0.022235576923076924,-0.051829268292682924,-1.16703698025,-0.3648983685,-0.061894566,-0.3997434264224423,-0.06545691403365385,-0.1706823236682927,-0.7933084741249999,-0.5642376841250001,0.20563617350000002,-0.15909009710726074,-0.004547162980769235,-0.03381641985609756,-0.9034484847916668,-0.16142073166666668,0.05902498027777778,-0.2403207454669967,-0.04050297027094277,-0.08544267060569105,0.7954856915822502,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1분위,0.7761436263260814
0.0,-0.0073296854565067,9.86,1120.0,373,1084420,11155.25,-747.0000000000003,20572.66219839142,-28.34014357985848,1659.25,-111.40000000000003,5506.549597855228,-30.947207601602184,-0.425,-6.938893903907227e-18,0.175,-0.10111940298507464,-0.06648089171974522,-0.06764240506329114,-0.1140842585,-0.183283776,-0.17929133,-0.21363258536417912,-0.15278183985668778,-0.2101356810126584,-0.19156132637499998,0.31968935587499997,-0.233064927125,-0.054251360617910416,-0.06180964810668791,-0.2042568956882911,-0.24354852829166665,-0.13878290104166666,-0.079118752375,-0.12300111632238807,-0.14117320908824138,-0.16067832725474687,0.7770561196802029,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1분위,0.7672430289114965
0.0,-0.0066828830638244,9.86,630.0,86,394747,12401.0,-108.00000000000004,19125.639534883718,-176.94735600735882,1789.75,-0.5999999999999981,2054.453488372093,8.237813104391718,-0.4,0.0,-0.15,-0.2171875,-0.12335526315789473,-0.048828125,-0.5354860647499999,-0.5834471284999998,-0.38651811350000004,-0.4131354222625,-0.19859944013157896,-0.169611175453125,0.3904701621249999,0.046679526375,0.389091476625,-0.031975254406250014,0.16310180175657896,0.11780911175,-0.1816719675416667,-0.0647852172916666,-0.04914221229166668,-0.22076605888958334,-0.06804853051315791,-0.033543396234375,0.7316022585661129,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1분위,0.7096087255575592
3.0,-0.0037539382239641,9.51,5940.0,57,184405,6136.75,-56.20000000000002,8450.070175438597,-113.23716619134042,2040.75,107.80000000000004,1011.6666666666665,6.28001037075447,-0.025,-0.1,-0.225,-0.2106481481481481,-0.2175,-0.21875,-0.4694235839999999,-0.3834025366666667,-1.36812575925,-0.35172105322222225,-0.3958326651599999,-0.3898011852884615,-1.466631255875,-0.207095484,-0.489049323,-0.7711175757129631,-0.6456189174000002,-0.5349956773653848,-0.653684946625,-0.3241506198888889,-0.69405836075,-0.4444955923611112,-0.38277611417512825,-0.3811822875512821,0.6530832589917893,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1분위,0.6406208142220812
4.0,-0.006499913981461,9.96,1650.0,116,207183,6153.75,-219.60000000000005,8759.146551724138,-27.47338253949948,760.75,-13.300000000000011,697.4310344827586,1.6482374197516618,-0.1,0.0,-0.1249999999999999,-0.11585365853658534,-0.07094594594594594,-0.006521739130434782,-0.158129454,-0.354859262,0.1842761635,-0.12996751210975613,-0.061179258581081114,0.14581438045217401,0.4317253011249999,0.529140264,0.3600886315,0.08027568928048784,-0.03684572310135135,0.35044201073478265,0.05786528237499997,0.0017431231666666565,0.13978826500000002,-0.055181827121951216,0.07277226873591854,0.16324488401884066,0.6021371806892625,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2분위,0.5840256554139216
0.0,-0.0080001147785376,9.98,2020.0,71,159521,5960.0,-1166.5000000000005,7756.492957746479,-66.58682092555334,875.0,-411.40000000000015,573.4929577464789,-2.1136150234741797,-0.3666666666666666,0.025,0.45,-0.13095238095238096,-0.08984375,0.02462121212121212,0.6376500426666666,0.450899482,0.50807490275,-0.10527280249206347,-0.03334270359375,0.2890527119242425,0.3289857308333333,0.686970807875,0.4599106087499999,-0.020706192849206342,0.09900836738281248,0.3977573658409089,0.19998970227777774,0.31193669691666664,0.4726618371666666,-0.08564379209788359,0.09152363741571967,0.2371437632954545,0.5937194337105987,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2분위,0.5556740056418387
1.0,-0.0058519978328837,8.93,1650.0,18,146848,7065.25,-210.20000000000007,9616.777777777776,-503.83694530443773,941.25,-124.70000000000002,1179.0,-7.36016511867905,-0.425,-0.25,-0.4000000000000001,-0.09375,-0.21875,-0.203125,-0.4198151904999999,0.0280898959999999,-0.4352245034999999,-0.26102003643750005,-0.16065948441666664,-0.436962165125,-1.099327109875,-0.030195489500000002,-0.5804175138750001,-0.42470058615625,-0.38729642829166666,-0.149761285625,-0.6480474334583333,-0.2674425392916667,-0.4718806724583333,-0.2598235408645833,-0.17639025668055555,-0.26328281691666666,0.6039180054312937,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2분위,0.5840748693732933
0.0,-0.0070153137005632,9.15,2020.0,37,189679,4155.75,-491.00000000000017,6945.189189189189,-200.3475580844001,583.75,177.30000000000007,1469.4324324324325,-72.42697961119013,-0.0666666666666666,0.0333333333333333,-0.275,-0.10344827586206896,-0.07954545454545454,-0.04924242424242424,-0.43678812200000006,-0.4643665846666667,-0.0022095292499999,-0.19325610275862068,-0.3825801367272728,-0.282608249,-0.4471652806666666,0.1840688286666666,0.15443887574999998,-0.17900488399999998,-0.1444159082954545,-0.3054610716969697,-0.3168733564444444,-0.09219812519444444,-0.040923551166666634,-0.15856975420689656,-0.255862220989899,-0.2124372483131313,0.5573723942794878,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2분위,0.5485803556110318
